sch_name,sch_desc,sch_addr,sch_email,sch_logo,sch_eoi,sch_decile,sch_homepage,sch_district,sch_region
Waatea School,Full Primary,"31 Calthorp Close , Favona, Auckland",admin@waatea.school.nz,http://www.waatea.school.nz/apple-touch-icon.png,564,,http://www.waatea.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland
Waiau Pa School,Full Primary,"571 Waiau Pa Road , Waiau Pa, Pukekohe",admin@waiaupa.school.nz,http://www.waiaupa.school.nz/apple-touch-icon.png,428,,http://www.waiaupa.school.nz,Franklin Local Board Area,Rural Auckland
Waiheke Primary School,Full Primary,"26 Sea View Road , Ostend, Waiheke Island",office@waiheke.school.nz,http://www.waiheke.school.nz/apple-touch-icon.png,411,,http://www.waiheke.school.nz,Waiheke Local Board Area,
Waimauku School,Full Primary,"2 Muriwai Road , Waimauku",office@waimauku.school.nz,http://www.waimauku.school.nz/apple-touch-icon.png,406,,http://www.waimauku.school.nz,Rodney Local Board Area,Rural Auckland
Wainui School,Full Primary,"492 Waitoki Road , Wainui",exo@wainui.school.nz,http://www.wainui.school.nz/apple-touch-icon.png,419,,http://www.wainui.school.nz,Rodney Local Board Area,Rural Auckland
Waioneke School,Full Primary,"1981 South Head Road , Helensville",office@waioneke.school.nz,http://www.waioneke.school.nz/apple-touch-icon.png,448,,http://www.waioneke.school.nz,Rodney Local Board Area,Rural Auckland
Waipipi School,Full Primary,"100 Creamery Road , Waiuku",admin@waipipi.school.nz,http://www.waipipi.school.nz/apple-touch-icon.png,447,,http://www.waipipi.school.nz/,Franklin Local Board Area,Rural Auckland
Waitakere School,Full Primary,"10 Bethells Road , Auckland West, Auckland",office@waitakereprimary.school.nz,http://www.waitakereprimary.school.nz/apple-touch-icon.png,419,,http://www.waitakereprimary.school.nz,Waitākere Ranges Local Board Area,West Auckland
Waitakere S D A School,Full Primary,"26 Corban Avenue , Henderson, Auckland",admin@waitakeresda.school.nz,,471,,,Henderson-Massey Local Board Area,West Auckland
Waitoki School,Full Primary,"1119 Kahikatea Flat Road , Waitoki, Kaukapakapa",admin@waitoki.school.nz,http://www.waitoki.school.nz/apple-touch-icon.png,422,,http://www.waitoki.school.nz,Rodney Local Board Area,Rural Auckland
Waiuku Primary School,Full Primary,"George Street , Waiuku",admin@waiuku.school.nz,http://web.waiuku.school.nz/apple-touch-icon.png,453,,http://web.waiuku.school.nz/,Franklin Local Board Area,Rural Auckland
Wellsford School,Full Primary,"47 School Road , Wellsford",info@wellsford.school.nz,http://www.wellsford.school.nz/apple-touch-icon.png,484,,http://www.wellsford.school.nz/,Rodney Local Board Area,Rural Auckland
Wentworth Primary,Full Primary,"95 Gulf Harbour Drive , Gulf Harbour, Whangaparaoa",enquiries@wentworth.school.nz,http://www.wentworth.school.nz/apple-touch-icon.png,,,http://www.wentworth.school.nz/,Hibiscus and Bays Local Board Area,North Shore
West Harbour School,Full Primary,"Oriel Avenue , West Harbour, Auckland",admin@westharbour.school.nz,http://www.westharbour.school.nz/apple-touch-icon.png,495,,http://www.westharbour.school.nz,Henderson-Massey Local Board Area,West Auckland
Westminster Christian School,Full Primary,"31 Westminster Gardens , Glenfield, Auckland",admin@westminster.school.nz,http://www.westminster.school.nz/apple-touch-icon.png,344,,http://www.westminster.school.nz/,Upper Harbour Local Board Area,North Shore
Whenuapai School,Full Primary,"14 Airport Road , Whenuapai, Auckland",office@whenuapai.school.nz,http://www.whenuapai.school.nz/apple-touch-icon.png,400,,http://www.whenuapai.school.nz,Upper Harbour Local Board Area,North Shore
Wiri Central School,Full Primary,"Inverell Avenue , Manukau City, Auckland",office@wiricentral.school.nz,http://www.wiricentral.school.nz/apple-touch-icon.png,528,,http://www.wiricentral.school.nz/,Manurewa Local Board Area,South Auckland
Woodhill School,Full Primary,"1555 State Highway 16 , Woodhill, Helensville",office@woodhill.school.nz,http://www.woodhill.school.nz/apple-touch-icon.png,477,,http://www.woodhill.school.nz,Rodney Local Board Area,Rural Auckland
